Description,Price,Rate,Review Counts,URL,Image
"USB C Charger,155W USB C Charging Station Laptop Charger 6-Port Portable USB C Wall Fast Charger USB C Power Adapter for MacBook Pro/Air,iPad Pro,iPhone 14/13/Mini/Pro/13Pro Max/12 Samsung Galaxy Note",$56.99,4.3 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05049151O7ILEFL1OUF0&qualifier=1672898411&id=5745866307695524&widgetName=sp_mtf&url=%2FCharger-Charging-Station-Portable-Adapter%2Fdp%2FB0BLBM8V95%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-12-spons%26psc%3D1,https://m.media-amazon.com/images/I/518bsEJgdOL._AC_UY218_.jpg
90w Universal Laptop Charger ETL Ac AdapterCompatible with Dell Hp Lenovo IBM Toshiba Acer Asus Samsung Sony Fujitsu Gateway Notebook Ultrabook Chromebook with 3 USB Ports 16 Tips,$18.99,4.3 out of 5 stars,,https://www.amazon.com//Universal-AdapterCompatible-Notebook-Ultrabook-Chromebook/dp/B0B4NCQW1D/ref=sr_1_13?keywords=laptop+charger&qid=1672898411&sr=8-13,https://m.media-amazon.com/images/I/61XaHyg8vlL._AC_UY218_.jpg
"45W Charger for Dell Laptop Charger,AC Adapter for Dell Inspiron 15 3000 5000 Series 15-3552 3555 3558 3565 3567 5551 5552 5555 5558 5559 Laptop Power Supply Cord",$12.99,4.6 out of 5 stars,,https://www.amazon.com//Charger-Laptop-Adapter-Inspiron-15-3552/dp/B0BM4CRF1L/ref=sr_1_14?keywords=laptop+charger&qid=1672898411&sr=8-14,https://m.media-amazon.com/images/I/71uCcFCbesL._AC_UY218_.jpg
"Mac Book Pro Charger - 118W USB C Charger Power Adapter for USB C MacBook Pro 16 15 14 13 Inch, MacBook Air 13 Inch 2021 2020 2019 2018, New iPad Pro, Include Charge Cable（7.2ft/2.2m）",$29.99,4.7 out of 5 stars,,https://www.amazon.com//Mac-Book-Pro-Charger-Cable%EF%BC%887-2ft/dp/B09FSCMR14/ref=sr_1_15?keywords=laptop+charger&qid=1672898411&sr=8-15,https://m.media-amazon.com/images/I/41aOUFMf6IL._AC_UY218_.jpg
"Universal Chromebook Charger, USB Type C 45W Widely AC Adapter for HP Acer Dell Asus Samsung Power Supply with Cord",$9.99,4.4 out of 5 stars,,https://www.amazon.com//Universal-Chromebook-Charger-Adapter-Samsung/dp/B07V2Y46MM/ref=sr_1_16?keywords=laptop+charger&qid=1672898411&sr=8-16,https://m.media-amazon.com/images/I/61FKGca1WiL._AC_UY218_.jpg
"UGREEN 65W USB C Charger, Nexode GaN 3-Port Fast Wall Charger Power Adapter, US/UK/EU Plug for Travel, Compatible with MacBook Pro/Air, Dell XPS, iPhone 14 Pro Max, iPad, Galaxy S22, Steam Deck",$55.99,4.9 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A066131234THOSNDLMI4S&qualifier=1672898411&id=5745866307695524&widgetName=sp_mtf&url=%2FUGREEN-65W-Fast-Charger-Black%2Fdp%2FB09X1H88VP%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-17-spons%26psc%3D1,https://m.media-amazon.com/images/I/51w1p6j7h7L._AC_UY218_.jpg
USB Type C 45W Chromebook Charger for HP Chromebook 14 X360 14-ca051wm 14-ca052wm 14-ca091wm ca061dx 14-ca0061dx 14-ca060nr 14-ca020nr 14-ca043cl USB C Power Supply Adapter,$13.13,4.4 out of 5 stars,,https://www.amazon.com//Chromebook-14-ca051wm-14-ca052wm-14-ca091wm-14-ca0061dx/dp/B09LYRT2GL/ref=sr_1_18?keywords=laptop+charger&qid=1672898411&sr=8-18,https://m.media-amazon.com/images/I/61IUYiR22PL._AC_UY218_.jpg
"45W USB-C Replacement Charger 918337-001 for HP Chromebook 14 X360 Series,for Lenovo Chromebook 2nd Gen AST MTK s330 4X20E75131 4x20m26268，ThinkPad T480 T580s Laptop Power Supply Cord",$8.59,4.5 out of 5 stars,,https://www.amazon.com//Replacement-918337-001-Chromebook-4X20E75131-4x20m26268%EF%BC%8CThinkPad/dp/B08R7N4CP6/ref=sr_1_19?keywords=laptop+charger&qid=1672898411&sr=8-19,https://m.media-amazon.com/images/I/61ceB3ZtGEL._AC_UY218_.jpg
"Mac Book Pro Charger - 118W USB C Charger Power Adapter Compatible with MacBook Pro 16, 15, 14, 13 Inch, MacBook Air 13 Inch, iPad Pro 2021/2020/2019/2018, Included 7.2ft USB C to C Cable",$37.99,4.5 out of 5 stars,,https://www.amazon.com//Mac-Book-Pro-Charger-Compatible/dp/B097PTBB5V/ref=sr_1_20?keywords=laptop+charger&qid=1672898411&sr=8-20,https://m.media-amazon.com/images/I/511rHa58MLL._AC_UY218_.jpg
ZOZO 90W AC Laptop Charger for HP Dell Toshiba IBM Lenovo Acer ASUS Samsung Sony Fujitsu Gateway Notebook Ultrabook Chromebook DC Output 15V 16V 18.5V 19V 19.5V 20V Power Adapter Supply Cord,$22.99,4.4 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08578182TYSMS0EDJQSI&qualifier=1672898411&id=5745866307695524&widgetName=sp_btf&url=%2FZOZO-Universal-Notebook-Ultrabook-Chromebook%2Fdp%2FB0132ST35Y%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-21-spons%26psc%3D1,https://m.media-amazon.com/images/I/81R9Nq6RugL._AC_UY218_.jpg
